day,mean_nav,p5_nav,p95_nav
196,602.7763066343323,485.5643272693966,741.3553611892457
197,602.7149360224386,485.7801139358523,742.4467711510106
198,602.7276965514568,483.99185829722626,739.1769500689172
199,602.6810125399145,481.4888419727842,737.7303513987823
200,602.8228430859239,483.02008552209924,739.0083891234656
201,602.8279214097308,484.2102942082971,734.3529149986243
202,602.8380063028043,479.39226832136444,738.9658343077961
203,602.6012247562085,478.9242017673839,738.9054827593906
204,602.6587577348561,479.9479746493013,742.2230676861603
205,602.535464665615,479.86511606459163,743.5086857100277
206,602.7187524108008,481.2535632909767,745.709480525285
207,602.620575538426,478.86248868921894,744.8667091114664
208,602.6655465950888,477.8499540861121,747.4786611285516
209,602.7145373099505,477.9980610136469,748.2738267349392
210,603.1821700093678,480.4809217994732,745.8540831245714
211,603.5997483204798,480.6571966053645,746.617398418757
212,603.8067457984972,477.08488882074795,747.2407682373708
213,604.2398305362466,476.3341595601561,746.5308935604312
214,604.5732280058539,478.81309971331416,745.8655592566538
215,604.7696573430388,479.5527036897033,742.9031923149656
216,604.8242177473747,478.0808749316757,744.2063175039685
217,605.0956101878379,478.9818380797772,747.3557927579847
218,604.6824503593435,479.3311064917791,747.8291144720923
219,604.6830338746312,477.5830802253948,747.9791019941052
220,604.748714286943,478.1273173626521,747.5820089190458
221,605.0505210274139,478.50346255623134,746.366438579617
222,605.0277639979378,481.5181252106893,744.6945874376004
223,605.0087924834194,479.8247620066563,746.2401543581443
224,604.901655392494,478.77059602935253,745.5737340245089
225,605.0565031591258,480.3649817238699,745.9343001563135
226,605.0953188938312,477.5539925072001,746.4042288849987
227,605.4648753025081,478.40106462655996,748.148482519005
228,605.7220507417701,477.4458096954277,754.1594169636572
229,605.9297111635168,478.27237215336896,756.221572593502
230,605.8279731740636,476.87782026936065,757.3683896779196
231,606.1662387693385,475.14823711444035,754.3880861927007
232,606.1372729660297,475.74867367596056,753.5218319499849
233,606.2145226676698,476.8948980698339,758.268692625653
234,606.5366450210752,478.30840709025694,752.5261613147902
235,606.7479872051857,478.3100118853341,755.0927214343233
236,606.6698313750812,476.57121027534635,756.3926329253547
237,607.0736154088037,475.68916964231823,759.5156338995747
238,607.2011915598912,475.5962512261537,754.9815532153574
239,607.2823440498487,472.73850329979854,750.8617079363565
240,607.0137370806643,475.32856928022414,753.1585560826685
241,607.4809478735197,476.36303760124486,750.9664620331173
242,607.5379720786433,478.2225783031528,753.8572551263005
243,607.2595525260098,477.8685770563168,750.9386735890582
244,607.4237264623041,477.33247009611046,750.0784844706227
245,607.3172503373198,476.06694512647357,751.5389025753767
246,607.3183194803065,474.9232331381779,752.922082827181
247,607.2645854442925,474.4885772878055,755.4800841782478
248,607.4120708723405,474.4848803993561,750.8989125001959
